Date,Time,Currency,Impact,Event,Actual,Forecast,Previous,Outcome
3/22/2018,0:30,JPY,L,Flash Manufacturing PMI,53.2,54.3,54.1,
3/22/2018,4:30,JPY,L,All Industries Activity m/m,-1.80%,-1.70%,0.60%,
3/22/2018,8:00,EUR,M,French Flash Manufacturing PMI,53.6,55.6,55.9,
3/22/2018,8:00,EUR,M,French Flash Services PMI,56.8,57,57.4,
3/22/2018,8:30,EUR,M,German Flash Manufacturing PMI,58.4,59.8,60.6,
3/22/2018,8:30,EUR,M,German Flash Services PMI,54.2,55,55.3,
3/22/2018,9:00,EUR,M,Flash Manufacturing PMI,56.6,58.1,58.6,
3/22/2018,9:00,EUR,M,Flash Services PMI,55,56,56.2,
3/22/2018,9:00,EUR,M,German ifo Business Climate,114.7,114.7,115.4,
3/22/2018,9:00,EUR,L,Current Account,37.6B,30.2B,31.0B,
3/22/2018,9:00,EUR,L,ECB Economic Bulletin,,,,
3/22/2018,9:30,GBP,H,Retail Sales m/m,0.80%,0.40%,-0.20%,
3/22/2018,12:00,GBP,H,MPC Official Bank Rate Votes,2-0-7,0-0-9,0-0-9,
3/22/2018,12:00,GBP,H,Monetary Policy Summary,,,,
3/22/2018,12:00,GBP,H,Official Bank Rate,0.50%,0.50%,0.50%,
3/22/2018,12:00,GBP,M,Asset Purchase Facility,435B,435B,435B,
3/22/2018,12:00,GBP,M,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,0-0-9,
3/22/2018,12:30,USD,M,Unemployment Claims,229K,225K,226K,
3/22/2018,13:00,USD,L,HPI m/m,0.80%,0.40%,0.40%,
3/22/2018,13:45,USD,L,Flash Manufacturing PMI,55.7,55.4,55.3,
3/22/2018,13:45,USD,L,Flash Services PMI,54.1,55.9,55.9,
3/22/2018,13:58,EUR,L,Belgian NBB Business Climate,0.1,1.2,1.9,
3/22/2018,14:00,USD,L,CB Leading Index m/m,0.60%,0.50%,0.80%,
3/22/2018,14:30,USD,L,Natural Gas Storage,-86B,-88B,-93B,
3/22/2018,17:00,GBP,M,MPC Member Ramsden Speaks,,,,
3/22/2018,18:45,CAD,M,Gov Council Member Wilkins Speaks,,,,
3/22/2018,23:30,JPY,L,National Core CPI y/y,1.00%,1.00%,0.90%,
3/23/2018,12:00,GBP,L,BOE Quarterly Bulletin,,,,
3/23/2018,12:10,USD,M,FOMC Member Bostic Speaks,,,,
3/23/2018,12:30,CAD,H,CPI m/m,0.60%,0.40%,0.70%,
3/23/2018,12:30,CAD,H,Core Retail Sales m/m,0.90%,0.90%,-1.70%,
3/23/2018,12:30,CAD,M,Common CPI y/y,1.90%,,1.80%,
3/23/2018,12:30,CAD,M,Median CPI y/y,2.10%,,1.90%,
3/23/2018,12:30,CAD,M,Retail Sales m/m,0.30%,1.10%,-0.70%,
3/23/2018,12:30,CAD,M,Trimmed CPI y/y,2.10%,,1.80%,
3/23/2018,12:30,CAD,L,Core CPI m/m,0.70%,,0.50%,
3/23/2018,12:30,GBP,M,MPC Member Vlieghe Speaks,,,,
3/23/2018,12:30,USD,H,Core Durable Goods Orders m/m,1.20%,0.50%,-0.20%,
3/23/2018,12:30,USD,M,Durable Goods Orders m/m,3.10%,1.60%,-3.60%,
3/23/2018,13:00,CNY,L,CB Leading Index m/m,1.10%,,1.90%,
3/23/2018,14:00,USD,L,New Home Sales,618K,621K,622K,
3/25/2018,2:00,CHF,N,Daylight Saving Time Shift,,,,
3/25/2018,2:00,EUR,N,Daylight Saving Time Shift,,,,
3/25/2018,2:00,GBP,N,Daylight Saving Time Shift,,,,
3/25/2018,22:45,NZD,M,Trade Balance,217M,-100M,-655M,
3/26/2018,9:30,GBP,L,High Street Lending,38.1K,39.2K,40.0K,
3/26/2018,10:30,EUR,M,German Buba President Weidmann Speaks,,,,
3/26/2018,17:30,USD,M,FOMC Member Dudley Speaks,,,,
3/26/2018,21:30,USD,M,FOMC Member Mester Speaks,,,,
3/27/2018,0:10,USD,M,FOMC Member Quarles Speaks,,,,
3/27/2018,0:50,JPY,L,SPPI y/y,0.60%,0.70%,0.70%,
3/27/2018,1:45,AUD,M,RBA Assist Gov Kent Speaks,,,,
3/27/2018,2:15,AUD,L,HIA New Home Sales m/m,-0.70%,,-2.10%,
3/27/2018,6:00,JPY,L,BOJ Core CPI y/y,0.80%,0.70%,0.80%,
3/27/2018,7:00,EUR,L,German Import Prices m/m,-0.60%,-0.30%,0.50%,
3/27/2018,8:00,EUR,M,Spanish Flash CPI y/y,1.20%,1.50%,1.10%,
3/27/2018,9:00,EUR,M,M3 Money Supply y/y,4.20%,4.60%,4.50%,
3/27/2018,9:00,EUR,L,Private Loans y/y,2.90%,3.00%,2.90%,
3/27/2018,9:30,GBP,L,FPC Meeting Minutes,,,,
3/27/2018,14:00,USD,L,S&P/CS Composite-20 HPI y/y,6.40%,6.10%,6.30%,
3/27/2018,15:00,USD,H,CB Consumer Confidence,127.7,131.2,130,
3/27/2018,15:00,USD,L,Richmond Manufacturing Index,15,23,28,
3/27/2018,16:00,USD,M,FOMC Member Bostic Speaks,,,,
3/28/2018,1:00,NZD,H,ANZ Business Confidence,-20,,-19,
3/28/2018,7:00,EUR,L,German GfK Consumer Climate,10.9,10.7,10.8,
3/28/2018,9:00,CHF,M,Credit Suisse Economic Expectations,16.7,,25.8,
3/28/2018,10:21,EUR,L,Italian 10-y Bond Auction,1.83|1.3,,2.06|1.4,
3/28/2018,11:00,GBP,L,CBI Realized Sales,-8,7,8,
3/28/2018,13:30,USD,H,Final GDP q/q,2.90%,2.70%,2.50%,
3/28/2018,13:30,USD,L,Final GDP Price Index q/q,2.30%,2.30%,2.30%,
3/28/2018,13:30,USD,L,Goods Trade Balance,-75.4B,-74.4B,-75.3B,
3/28/2018,13:30,USD,L,Prelim Wholesale Inventories m/m,1.10%,0.60%,0.80%,
3/28/2018,15:00,USD,L,Pending Home Sales m/m,3.10%,2.10%,-5.00%,
3/28/2018,15:30,USD,H,Crude Oil Inventories,1.6M,0.5M,-2.6M,
3/28/2018,17:00,USD,M,FOMC Member Bostic Speaks,,,,
3/28/2018,22:45,NZD,L,Building Consents m/m,5.70%,,0.00%,
3/29/2018,0:01,GBP,L,GfK Consumer Confidence,-7,-10,-10,
3/29/2018,0:01,EUR,M,German Prelim CPI m/m,0.40%,0.50%,0.50%,
3/29/2018,0:01,NZD,N,Bank Holiday,,,,
3/29/2018,0:01,AUD,N,Bank Holiday,,,,
3/29/2018,0:50,JPY,L,Retail Sales y/y,1.60%,1.70%,1.50%,
3/29/2018,1:30,AUD,L,Private Sector Credit m/m,0.40%,0.30%,0.20%,
3/29/2018,7:00,GBP,L,Nationwide HPI m/m,-0.20%,0.20%,-0.40%,
3/29/2018,8:00,CHF,M,KOF Economic Barometer,106,107.3,108.4,
3/29/2018,8:55,EUR,L,German Unemployment Change,-19K,-15K,-23K,
3/29/2018,9:30,GBP,H,Current Account,-18.4B,-24.0B,-19.2B,
3/29/2018,9:30,GBP,M,Final GDP q/q,0.40%,0.40%,0.40%,
3/29/2018,9:30,GBP,M,Net Lending to Individuals m/m,5.4B,4.8B,4.8B,
3/29/2018,9:30,GBP,L,Index of Services 3m/3m,0.60%,0.60%,0.40%,
3/29/2018,9:30,GBP,L,M4 Money Supply m/m,-0.30%,1.30%,1.50%,
3/29/2018,9:30,GBP,L,Mortgage Approvals,64K,66K,67K,
3/29/2018,9:30,GBP,L,Revised Business Investment q/q,0.30%,0.00%,0.00%,
3/29/2018,13:30,CAD,H,GDP m/m,-0.10%,0.10%,0.20%,
3/29/2018,13:30,CAD,M,RMPI m/m,-0.30%,2.80%,3.40%,
3/29/2018,13:30,CAD,L,IPPI m/m,0.10%,0.40%,0.40%,
3/29/2018,13:30,USD,M,Core PCE Price Index m/m,0.20%,0.20%,0.30%,
3/29/2018,13:30,USD,M,Personal Spending m/m,0.20%,0.20%,0.20%,
3/29/2018,13:30,USD,M,Unemployment Claims,215K,230K,229K,
3/29/2018,13:30,USD,L,Personal Income m/m,0.40%,0.40%,0.40%,
3/29/2018,14:45,USD,M,Chicago PMI,57.4,62.1,61.9,
3/29/2018,15:00,USD,M,Revised UoM Consumer Sentiment,101.4,101.9,102,
3/29/2018,15:00,USD,L,Revised UoM Inflation Expectations,2.80%,,2.90%,
3/29/2018,15:30,USD,L,Natural Gas Storage,-63B,-75B,-86B,
3/30/2018,0:01,CHF,N,Bank Holiday,,,,
3/30/2018,0:01,EUR,N,German Bank Holiday,,,,
3/30/2018,0:01,GBP,N,Bank Holiday,,,,
3/30/2018,0:01,CAD,N,Bank Holiday,,,,
3/30/2018,0:30,JPY,L,Tokyo Core CPI y/y,0.80%,0.90%,0.90%,
3/30/2018,0:30,JPY,L,Unemployment Rate,2.50%,2.60%,2.40%,
3/30/2018,0:50,JPY,L,Prelim Industrial Production m/m,4.10%,5.10%,-6.80%,
3/30/2018,6:00,JPY,L,Housing Starts y/y,-2.60%,-4.10%,-13.20%,
3/30/2018,7:45,EUR,L,French Consumer Spending m/m,2.40%,2.20%,-1.90%,
3/30/2018,7:45,EUR,L,French Prelim CPI m/m,1.00%,0.80%,0.00%,
3/30/2018,10:00,EUR,L,Italian Prelim CPI m/m,0.40%,0.10%,0.00%,
3/31/2018,2:00,CNY,M,Manufacturing PMI,51.5,50.5,50.3,
3/31/2018,2:00,CNY,M,Non-Manufacturing PMI,54.6,54.5,54.4,
3/31/2018,15:00,NZD,N,Daylight Saving Time Shift,,,,
3/31/2018,17:00,AUD,N,Daylight Saving Time Shift,,,,
4/1/2018,0:01,NZD,N,Bank Holiday,,,,
4/1/2018,0:01,AUD,N,Bank Holiday,,,,
4/2/2018,0:01,CHF,N,Bank Holiday,,,,
4/2/2018,0:01,EUR,N,French Bank Holiday,,,,
4/2/2018,0:01,EUR,N,German Bank Holiday,,,,
4/2/2018,0:01,EUR,N,Italian Bank Holiday,,,,
4/2/2018,0:01,GBP,N,Bank Holiday,,,,
4/2/2018,0:50,JPY,L,Tankan Manufacturing Index,24,25,25,
4/2/2018,0:50,JPY,L,Tankan Non-Manufacturing Index,23,24,23,
4/2/2018,1:30,JPY,L,Final Manufacturing PMI,53.1,53.2,53.2,
4/2/2018,2:00,AUD,L,MI Inflation Gauge m/m,0.10%,,-0.10%,
4/2/2018,2:45,CNY,M,Caixin Manufacturing PMI,51,51.8,51.6,
4/2/2018,14:30,CAD,L,Manufacturing PMI,55.7,,55.6,
4/2/2018,14:45,USD,L,Final Manufacturing PMI,55.6,55.7,55.7,
4/2/2018,15:00,USD,H,ISM Manufacturing PMI,59.3,60.1,60.8,
4/2/2018,15:00,USD,L,Construction Spending m/m,0.10%,0.40%,0.00%,
4/2/2018,15:00,USD,L,ISM Manufacturing Prices,78.1,72.5,74.2,
4/2/2018,23:30,AUD,L,AIG Manufacturing Index,63.1,,57.5,
4/3/2018,0:01,USD,L,Total Vehicle Sales,17.5M,16.9M,17.1M,
4/3/2018,0:01,USD,L,Wards Total Vehicle Sales,17.4M,16.9M,17.0M,
4/3/2018,0:50,JPY,L,Monetary Base y/y,9.10%,9.60%,9.40%,
4/3/2018,2:30,AUD,L,ANZ Job Advertisements m/m,0.00%,,-0.40%,
4/3/2018,4:45,JPY,L,10-y Bond Auction,0.03|4.2,,0.06|4.5,
4/3/2018,5:30,AUD,H,RBA Rate Statement,,,,
4/3/2018,5:30,AUD,M,Cash Rate,1.50%,1.50%,1.50%,
4/3/2018,7:00,EUR,M,German Retail Sales m/m,-0.70%,0.70%,-0.30%,
4/3/2018,7:30,AUD,L,Commodity Prices y/y,-2.10%,,-2.80%,
4/3/2018,8:00,EUR,L,Spanish Unemployment Change,-47.7K,-47.5K,-6.3K,
4/3/2018,8:15,CHF,L,Retail Sales y/y,-0.20%,-0.70%,-0.40%,
4/3/2018,8:15,EUR,L,Spanish Manufacturing PMI,54.8,54.7,56,
4/3/2018,8:30,CHF,L,Manufacturing PMI,60.3,64.3,65.5,
4/3/2018,8:45,EUR,L,Italian Manufacturing PMI,55.1,55.6,56.8,
4/3/2018,8:50,EUR,L,French Final Manufacturing PMI,53.7,53.6,53.6,
4/3/2018,8:55,EUR,L,German Final Manufacturing PMI,58.2,58.4,58.4,
4/3/2018,9:00,EUR,L,Final Manufacturing PMI,56.6,56.6,56.6,
4/3/2018,9:30,GBP,H,Final Manufacturing PMI,55.1,54.8,55,
4/3/2018,15:05,USD,L,IBD/TIPP Economic Optimism,52.6,55.2,55.6,
4/3/2018,15:33,NZD,M,GDT Price Index,-0.60%,,-1.20%,
4/3/2018,21:30,USD,M,FOMC Member Brainard Speaks,,,,
4/4/2018,0:01,GBP,L,BRC Shop Price Index y/y,-1.00%,,-0.80%,
4/4/2018,2:30,AUD,H,Retail Sales m/m,0.60%,0.30%,0.20%,
4/4/2018,2:30,AUD,M,Building Approvals m/m,-6.20%,-5.10%,17.20%,
4/4/2018,2:45,CNY,M,Caixin Services PMI,52.3,54.5,54.2,
4/4/2018,9:00,EUR,L,Italian Monthly Unemployment Rate,10.90%,11.00%,11.10%,
4/4/2018,9:30,GBP,H,Construction PMI,47,50.9,51.4,
4/4/2018,10:00,EUR,M,CPI Flash Estimate y/y,1.40%,1.40%,1.10%,
4/4/2018,10:00,EUR,M,Core CPI Flash Estimate y/y,1.00%,1.10%,1.00%,
4/4/2018,10:00,EUR,L,Unemployment Rate,8.50%,8.50%,8.60%,
4/4/2018,13:15,USD,H,ADP Non-Farm Employment Change,241K,208K,246K,
4/4/2018,14:45,USD,L,Final Services PMI,54,54.3,54.1,
4/4/2018,15:00,USD,H,ISM Services PMI,58.8,59,59.5,
4/4/2018,15:00,USD,L,Factory Orders m/m,1.20%,1.70%,-1.30%,
4/4/2018,15:30,USD,H,Crude Oil Inventories,-4.6M,1.4M,1.6M,
4/4/2018,16:00,USD,M,FOMC Member Mester Speaks,,,,
4/4/2018,23:30,AUD,L,AIG Services Index,56.9,,54,
4/5/2018,0:01,CNY,N,Bank Holiday,,,,
4/5/2018,2:00,NZD,L,ANZ Commodity Prices m/m,1.20%,,2.80%,
4/5/2018,2:30,AUD,H,Trade Balance,0.83B,0.68B,0.95B,
4/5/2018,7:00,EUR,L,German Factory Orders m/m,0.30%,1.60%,-3.50%,
4/5/2018,8:15,CHF,L,CPI m/m,0.40%,0.20%,0.40%,
4/5/2018,8:15,EUR,L,Spanish Services PMI,56.2,56.2,57.3,
4/5/2018,8:45,EUR,L,Italian Services PMI,52.6,53.9,55,
4/5/2018,8:50,EUR,L,French Final Services PMI,56.9,56.8,56.8,
4/5/2018,8:55,EUR,L,German Final Services PMI,53.9,54.2,54.2,
4/5/2018,9:00,EUR,L,Final Services PMI,54.9,55,55,
4/5/2018,9:30,GBP,H,Final Services PMI,51.7,53.9,54.5,
4/5/2018,9:57,EUR,L,Spanish 10-y Bond Auction,1.15|1.5,,1.36|1.3,
4/5/2018,10:00,EUR,L,PPI m/m,0.10%,0.00%,0.40%,
4/5/2018,10:00,EUR,L,Retail Sales m/m,0.10%,0.60%,-0.30%,
4/5/2018,10:03,EUR,L,French 10-y Bond Auction,0.74|1.9,,0.90|1.9,
4/5/2018,12:30,USD,L,Challenger Job Cuts y/y,39.40%,,-4.30%,
4/5/2018,13:30,CAD,H,Trade Balance,-2.7B,-2.1B,-1.9B,
4/5/2018,13:30,USD,M,Unemployment Claims,242K,225K,218K,
4/5/2018,13:30,USD,L,Trade Balance,-57.6B,-56.9B,-56.7B,
4/5/2018,15:30,USD,L,Natural Gas Storage,-29B,-29B,-63B,
4/5/2018,17:00,CHF,M,Gov Board Member Maechler Speaks,,,,
4/5/2018,18:00,USD,M,FOMC Member Bostic Speaks,,,,
4/6/2018,0:01,CNY,N,Bank Holiday,,,,
4/6/2018,0:30,JPY,L,Household Spending y/y,-0.90%,0.30%,1.90%,
4/6/2018,1:00,JPY,L,Average Cash Earnings y/y,1.30%,0.50%,1.20%,
4/6/2018,6:00,JPY,L,Leading Indicators,105.80%,105.50%,105.60%,
4/6/2018,7:00,EUR,L,German Industrial Production m/m,-1.60%,0.20%,0.10%,
4/6/2018,7:45,EUR,L,French Gov Budget Balance,-28.5B,,-10.8B,
4/6/2018,7:45,EUR,L,French Trade Balance,-5.2B,-5.3B,-5.4B,
4/6/2018,8:00,CHF,L,Foreign Currency Reserves,738B,,732B,
4/6/2018,9:10,EUR,L,Retail PMI,50.1,,52.3,
4/6/2018,9:30,GBP,L,Housing Equity Withdrawal q/q,-6.7B,-6.7B,-6.3B,
4/6/2018,13:30,CAD,H,Employment Change,32.3K,20.1K,15.4K,
4/6/2018,13:30,CAD,H,Unemployment Rate,5.80%,5.80%,5.80%,
4/6/2018,13:30,USD,H,Average Hourly Earnings m/m,0.30%,0.30%,0.10%,
4/6/2018,13:30,USD,H,Non-Farm Employment Change,103K,188K,326K,
4/6/2018,13:30,USD,H,Unemployment Rate,4.10%,4.00%,4.10%,
4/6/2018,15:00,CAD,M,Ivey PMI,59.8,60.2,59.6,
4/6/2018,16:15,GBP,H,BOE Gov Carney Speaks,,,,
4/6/2018,18:30,USD,H,Fed Chair Powell Speaks,,,,
4/6/2018,20:00,USD,L,Consumer Credit m/m,10.6B,15.3B,15.6B,
4/8/2018,23:30,AUD,L,AIG Construction Index,57.2,,56,
4/9/2018,0:50,JPY,L,Current Account,1.02T,1.39T,2.02T,
4/9/2018,6:03,JPY,L,Consumer Confidence,44.3,44.6,44.3,
4/9/2018,6:45,CHF,L,Unemployment Rate,2.90%,2.90%,2.90%,
4/9/2018,7:00,EUR,L,German Trade Balance,19.2B,23.1B,21.5B,
4/9/2018,7:00,JPY,L,Economy Watchers Sentiment,48.9,48.1,48.6,
4/9/2018,8:30,GBP,M,Halifax HPI m/m,1.50%,0.10%,0.50%,
4/9/2018,9:30,EUR,L,Sentix Investor Confidence,19.6,21.2,24,
4/9/2018,15:30,CAD,H,BOC Business Outlook Survey,,,,
4/9/2018,23:00,NZD,M,NZIER Business Confidence,-11,,-12,
4/10/2018,0:01,GBP,L,BRC Retail Sales Monitor y/y,1.40%,,0.60%,
4/10/2018,2:30,AUD,M,NAB Business Confidence,7,,9,
4/10/2018,6:57,JPY,L,Prelim Machine Tool Orders y/y,28.10%,,39.50%,
4/10/2018,7:45,EUR,L,French Industrial Production m/m,1.20%,1.50%,-1.80%,
4/10/2018,9:00,EUR,L,Italian Industrial Production m/m,-0.50%,1.00%,-1.80%,
4/10/2018,10:00,GBP,M,MPC Member Haldane Speaks,,,,
4/10/2018,11:00,USD,L,NFIB Small Business Index,104.7,107,107.6,
4/10/2018,13:13,CAD,L,Housing Starts,225K,219K,231K,
4/10/2018,13:30,CAD,M,Building Permits m/m,-2.60%,-1.50%,5.20%,
4/10/2018,13:30,USD,H,PPI m/m,0.30%,0.10%,0.20%,
4/10/2018,13:30,USD,M,Core PPI m/m,0.30%,0.20%,0.20%,
4/10/2018,15:00,USD,L,Final Wholesale Inventories m/m,1.00%,0.80%,1.10%,
4/11/2018,0:50,JPY,L,Bank Lending y/y,2.00%,2.10%,2.10%,
4/11/2018,0:50,JPY,L,Core Machinery Orders m/m,2.10%,-2.60%,8.20%,
4/11/2018,0:50,JPY,L,PPI y/y,2.10%,2.10%,2.60%,
4/11/2018,1:30,AUD,L,Westpac Consumer Sentiment,-0.60%,,0.20%,
4/11/2018,2:30,CNY,M,CPI y/y,2.10%,2.60%,2.90%,
4/11/2018,2:30,CNY,M,PPI y/y,3.10%,3.20%,3.70%,
4/11/2018,6:00,AUD,H,RBA Gov Lowe Speaks,,,,
4/11/2018,9:00,EUR,L,Italian Retail Sales m/m,0.40%,0.30%,-0.50%,
4/11/2018,9:30,GBP,H,Manufacturing Production m/m,-0.20%,0.20%,0.00%,
4/11/2018,9:30,GBP,M,Goods Trade Balance,-10.2B,-12.0B,-12.2B,
4/11/2018,9:30,GBP,L,Construction Output m/m,-1.60%,0.70%,-3.10%,
4/11/2018,9:30,GBP,L,Industrial Production m/m,0.10%,0.40%,1.30%,
4/11/2018,10:34,EUR,L,German 30-y Bond Auction,1.12|1.0,,1.27|1.1,
4/11/2018,12:08,GBP,L,NIESR GDP Estimate,0.20%,,0.10%,
4/11/2018,12:10,EUR,M,ECB President Draghi Speaks,,,,
4/11/2018,13:30,USD,H,CPI m/m,-0.10%,0.00%,0.20%,
4/11/2018,13:30,USD,H,CPI y/y,2.40%,2.40%,2.20%,
4/11/2018,13:30,USD,H,Core CPI m/m,0.20%,0.20%,0.20%,
4/11/2018,15:30,USD,H,Crude Oil Inventories,3.3M,-0.6M,-4.6M,
4/11/2018,18:01,USD,L,10-y Bond Auction,2.80|2.5,,2.89|2.5,
4/11/2018,19:00,USD,H,FOMC Meeting Minutes,,,,
4/11/2018,19:00,USD,L,Federal Budget Balance,-208.7B,-191.0B,-215.2B,
4/12/2018,0:00,NZD,M,RBNZ Assist Gov McDermott Speaks,,,,
4/12/2018,0:01,GBP,L,RICS House Price Balance,0%,2%,0%,
4/12/2018,0:50,JPY,L,M2 Money Stock y/y,3.20%,3.20%,3.20%,
