Date,Time,Currency,Impact,Event,Actual,Forecast,Previous,Outcome
8/4/2011,6:00,JPY,H,Monetary Policy Statement,,,,
8/4/2011,6:00,JPY,H,Overnight Call Rate,<0.10%,<0.10%,<0.10%,
8/4/2011,8:47,JPY,H,BOJ Press Conference,,,,
8/4/2011,11:00,EUR,M,German Factory Orders m/m,1.80%,-0.40%,1.50%,
8/4/2011,12:00,GBP,H,Asset Purchase Facility,200B,200B,200B,
8/4/2011,12:00,GBP,H,Official Bank Rate,0.50%,0.50%,0.50%,
8/4/2011,12:45,EUR,H,Main Refinancing Rate,1.50%,1.50%,1.50%,
8/4/2011,13:30,EUR,H,ECB Press Conference,,,,
8/4/2011,13:30,USD,H,Unemployment Claims,400K,404K,401K,
8/4/2011,15:30,USD,L,Natural Gas Storage,44B,39B,43B,
8/5/2011,0:23,AUD,L,AIG Construction Index,36.1,,35.8,
8/5/2011,2:30,AUD,H,RBA Monetary Policy Statement,,,,
8/5/2011,6:00,JPY,M,BOJ Monthly Report,,,,
8/5/2011,6:00,JPY,L,Leading Indicators,103.20%,103.60%,99.40%,
8/5/2011,7:45,EUR,L,French Trade Balance,-5.6B,-6.3B,-6.4B,
8/5/2011,8:00,CHF,H,Foreign Currency Reserves,182B,,196B,
8/5/2011,8:00,GBP,H,Halifax HPI m/m,0.30%,0.10%,1.50%,
8/5/2011,8:15,CHF,M,CPI m/m,-0.80%,-0.50%,-0.20%,
8/5/2011,9:00,EUR,L,Italian Industrial Production m/m,-0.60%,0.40%,-0.60%,
8/5/2011,9:30,GBP,H,PPI Input m/m,0.60%,0.60%,0.20%,
8/5/2011,9:30,GBP,L,PPI Output m/m,0.20%,0.20%,0.10%,
8/5/2011,10:00,EUR,L,Italian Prelim GDP q/q,0.30%,0.20%,0.10%,
8/5/2011,11:00,EUR,M,German Industrial Production m/m,-1.10%,0.10%,0.90%,
8/5/2011,12:00,CAD,H,Employment Change,7.1K,17.7K,28.4K,
8/5/2011,12:00,CAD,H,Unemployment Rate,7.20%,7.40%,7.40%,
8/5/2011,13:30,CAD,H,Building Permits m/m,2.10%,-4.80%,20.90%,
8/5/2011,13:30,USD,H,Non-Farm Employment Change,117K,89K,46K,
8/5/2011,13:30,USD,H,Unemployment Rate,9.10%,9.20%,9.20%,
8/5/2011,13:30,USD,M,Average Hourly Earnings m/m,0.40%,0.20%,0.00%,
8/5/2011,15:00,CAD,H,Ivey PMI,46.8,61.2,59.9,
8/5/2011,16:00,USD,L,President Obama Speaks,,,,
8/5/2011,20:00,USD,L,Consumer Credit m/m,15.5B,5.0B,5.1B,
8/5/2011,22:30,USD,L,IBD/TIPP Economic Optimism,35.8,43.1,41.4,
8/6/2011,2:30,USD,L,Fed Announcement,,,,
8/8/2011,0:01,All,M,G7 Meetings,,,,
8/8/2011,0:01,All,M,G20 Meetings,,,,
8/8/2011,0:50,JPY,L,Bank Lending y/y,-0.50%,,-0.60%,
8/8/2011,0:50,JPY,L,Current Account,0.92T,0.96T,0.39T,
8/8/2011,2:30,AUD,H,ANZ Job Advertisements m/m,-0.70%,,3.80%,
8/8/2011,6:00,JPY,L,Economy Watchers Sentiment,52.6,50.3,49.6,
8/8/2011,6:45,CHF,L,Unemployment Rate,3.00%,3.00%,3.00%,
8/8/2011,9:30,EUR,L,Sentix Investor Confidence,-13.5,3.6,5.3,
8/8/2011,18:30,USD,L,President Obama Speaks,,,,
8/9/2011,0:01,GBP,M,BRC Retail Sales Monitor y/y,0.60%,,-0.60%,
8/9/2011,0:01,GBP,M,RICS House Price Balance,-22%,-25%,-26%,
8/9/2011,0:50,JPY,M,Monetary Policy Meeting Minutes,,,,
8/9/2011,0:50,JPY,L,M2 Money Stock y/y,2.90%,2.90%,2.90%,
8/9/2011,2:30,AUD,H,Home Loans m/m,0.00%,0.70%,2.80%,
8/9/2011,2:30,AUD,M,NAB Business Confidence,2,,0,
8/9/2011,2:35,CNY,H,CPI y/y,6.50%,6.40%,6.40%,
8/9/2011,2:35,CNY,M,PPI y/y,7.50%,7.40%,7.10%,
8/9/2011,6:00,JPY,L,Consumer Confidence,37,37.6,35.3,
8/9/2011,6:45,CHF,M,SECO Consumer Climate,-17,-7,-1,
8/9/2011,7:00,EUR,L,German Trade Balance,11.5B,12.9B,12.9B,
8/9/2011,7:00,JPY,L,Prelim Machine Tool Orders y/y,34.60%,,53.50%,
8/9/2011,7:45,EUR,L,French Gov Budget Balance,-61.3B,,-68.4B,
8/9/2011,8:41,CNY,M,Fixed Asset Investment ytd/y,25.40%,25.50%,25.60%,
8/9/2011,8:41,CNY,M,Industrial Production y/y,14.00%,14.70%,15.10%,
8/9/2011,9:08,CNY,L,Retail Sales y/y,17.20%,17.70%,17.70%,
8/9/2011,9:30,GBP,H,Manufacturing Production m/m,-0.40%,0.30%,1.80%,
8/9/2011,9:30,GBP,M,Goods Trade Balance,-8.9B,-8.2B,-8.5B,
8/9/2011,9:30,GBP,L,Industrial Production m/m,0.00%,0.40%,0.80%,
8/9/2011,12:30,USD,L,NFIB Small Business Index,89.9,89.8,90.8,
8/9/2011,13:15,CAD,H,Housing Starts,205K,194K,201K,
8/9/2011,13:30,USD,M,Prelim Nonfarm Productivity q/q,-0.30%,-0.60%,1.80%,
8/9/2011,13:30,USD,M,Prelim Unit Labor Costs q/q,2.20%,2.10%,0.70%,
8/9/2011,15:00,GBP,M,NIESR GDP Estimate,0.60%,,0.20%,
8/9/2011,19:19,USD,H,FOMC Statement,,,,
8/9/2011,19:19,USD,H,Federal Funds Rate,<0.25%,<0.25%,<0.25%,
8/10/2011,0:50,JPY,M,Tertiary Industry Activity m/m,1.90%,1.10%,0.80%,
8/10/2011,0:50,JPY,L,PPI y/y,2.90%,2.60%,2.60%,
8/10/2011,1:30,AUD,M,Westpac Consumer Sentiment,-3.50%,,-8.30%,
8/10/2011,4:01,CNY,H,USD-Denominated Trade Balance,31.5B,27.3B,22.3B,
8/10/2011,7:00,EUR,L,German Final CPI m/m,0.40%,0.40%,0.40%,
8/10/2011,7:45,EUR,M,French Industrial Production m/m,-1.60%,-0.10%,1.90%,
8/10/2011,10:30,GBP,H,BOE Gov King Speaks,,,,
8/10/2011,10:30,GBP,H,BOE Monetary Policy Report,,,,
8/10/2011,15:00,USD,L,Final Wholesale Inventories m/m,0.60%,0.90%,1.70%,
8/10/2011,15:00,USD,L,JOLTS Job Openings,3.11M,,3.03M,
8/10/2011,15:30,USD,M,Crude Oil Inventories,-5.2M,1.7M,1.0M,
8/10/2011,18:00,USD,M,10-y Bond Auction,2.14|3.2,,2.92|3.2,
8/10/2011,18:57,USD,M,Federal Budget Balance,-129.4B,-137.4B,-43.1B,
8/10/2011,23:21,NZD,L,BusinessNZ Manufacturing Index,53.2,,54.3,
8/10/2011,23:30,NZD,M,REINZ HPI m/m,-0.60%,,1.30%,
8/11/2011,0:50,JPY,M,Core Machinery Orders m/m,7.70%,1.90%,3.00%,
8/11/2011,2:00,AUD,M,MI Inflation Expectations,2.70%,,3.40%,
8/11/2011,2:30,AUD,H,Employment Change,-0.1K,10.2K,18.2K,
8/11/2011,2:30,AUD,H,Unemployment Rate,5.10%,4.90%,4.90%,
8/11/2011,7:00,EUR,L,German WPI m/m,-0.60%,-0.30%,-0.60%,
8/11/2011,9:00,EUR,M,ECB Monthly Bulletin,,,,
8/11/2011,10:00,GBP,L,CB Leading Index m/m,0.00%,,0.60%,
8/11/2011,13:00,GBP,L,Chancellor Osborne Speaks,,,,
8/11/2011,13:30,CAD,H,Trade Balance,-1.6B,-0.9B,-1.0B,
8/11/2011,13:30,CAD,M,NHPI m/m,0.30%,0.40%,0.40%,
8/11/2011,13:30,USD,H,Trade Balance,-53.1B,-47.9B,-50.8B,
8/11/2011,13:30,USD,H,Unemployment Claims,395K,401K,402K,
8/11/2011,15:30,USD,L,Natural Gas Storage,25B,33B,44B,
8/11/2011,18:00,USD,L,30-y Bond Auction,3.75|2.1,,4.20|2.8,
8/12/2011,5:30,JPY,L,Revised Industrial Production m/m,3.80%,3.90%,3.90%,
8/12/2011,6:30,EUR,M,French Prelim GDP q/q,0.00%,0.30%,0.90%,
8/12/2011,6:30,EUR,L,French Final CPI m/m,-0.40%,-0.20%,0.10%,
8/12/2011,7:45,EUR,M,French Prelim Private Payrolls q/q,0.40%,0.20%,0.40%,
8/12/2011,8:07,CNY,M,New Loans,493B,551B,634B,
8/12/2011,8:07,CNY,L,M2 Money Supply y/y,14.70%,15.80%,15.90%,
8/12/2011,9:00,EUR,L,Italian Trade Balance,-1.83B,-2.50B,-2.40B,
8/12/2011,10:00,EUR,M,Industrial Production m/m,-0.70%,0.10%,0.20%,
8/12/2011,13:30,USD,H,Core Retail Sales m/m,0.50%,0.20%,0.20%,
8/12/2011,13:30,USD,H,Retail Sales m/m,0.50%,0.40%,0.30%,
8/12/2011,14:55,USD,H,Prelim UoM Consumer Sentiment,54.9,63.2,63.7,
8/12/2011,14:55,USD,L,Prelim UoM Inflation Expectations,3.40%,,3.40%,
8/12/2011,15:00,USD,M,Business Inventories m/m,0.30%,0.60%,0.90%,
8/12/2011,15:00,USD,L,FOMC Member Dudley Speaks,,,,
8/14/2011,23:30,NZD,L,BusinessNZ Services Index,54.5,,54.1,
8/15/2011,0:01,GBP,M,Rightmove HPI m/m,-2.10%,,-1.60%,
8/15/2011,0:01,EUR,N,French Bank Holiday,,,,
8/15/2011,0:01,EUR,N,Italian Bank Holiday,,,,
8/15/2011,0:50,JPY,H,Prelim GDP q/q,-0.30%,-0.60%,-0.90%,
8/15/2011,0:50,JPY,M,Prelim GDP Price Index y/y,-2.20%,-1.70%,-1.90%,
8/15/2011,2:30,AUD,M,New Motor Vehicle Sales m/m,8.60%,,1.90%,
8/15/2011,8:15,CHF,M,PPI m/m,-0.70%,-0.50%,-0.50%,
8/15/2011,13:30,CAD,L,New Motor Vehicle Sales m/m,10.80%,2.40%,-6.10%,
8/15/2011,13:30,USD,M,Empire State Manufacturing Index,-7.7,0.5,-3.8,
8/15/2011,14:00,USD,H,TIC Long-Term Purchases,3.7B,30.4B,24.2B,
8/15/2011,15:00,USD,L,NAHB Housing Market Index,15,15,15,
8/15/2011,19:00,USD,L,Loan Officer Survey,,,,
8/16/2011,2:30,AUD,H,Monetary Policy Meeting Minutes,,,,
8/16/2011,3:00,CNY,L,CB Leading Index m/m,1.00%,,0.60%,
8/16/2011,3:32,CNY,L,Foreign Direct Investment ytd/y,18.60%,,18.40%,
8/16/2011,7:00,EUR,H,German Prelim GDP q/q,0.10%,0.50%,1.30%,
8/16/2011,8:00,EUR,M,Spanish Flash GDP q/q,0.20%,0.20%,0.30%,
8/16/2011,9:30,GBP,H,CPI y/y,4.40%,4.30%,4.20%,
8/16/2011,9:30,GBP,M,RPI y/y,5.00%,5.00%,5.00%,
8/16/2011,9:30,GBP,L,Core CPI y/y,3.10%,3.10%,2.80%,
8/16/2011,9:32,GBP,L,ONS HPI y/y,-2.00%,0.90%,-2.20%,
8/16/2011,10:00,EUR,M,Flash GDP q/q,0.20%,0.30%,0.80%,
8/16/2011,10:00,EUR,L,Trade Balance,-1.6B,0.3B,-0.8B,
8/16/2011,10:30,GBP,H,BOE Inflation Letter,,,,
8/16/2011,13:30,CAD,M,Manufacturing Sales m/m,-1.50%,-0.30%,-0.70%,
8/16/2011,13:30,USD,H,Building Permits,0.60M,0.61M,0.62M,
8/16/2011,13:30,USD,M,Housing Starts,0.60M,0.60M,0.61M,
8/16/2011,13:30,USD,M,Import Prices m/m,0.30%,0.00%,-0.60%,
8/16/2011,14:15,USD,M,Capacity Utilization Rate,77.50%,77.00%,76.90%,
8/16/2011,14:15,USD,M,Industrial Production m/m,0.90%,0.50%,0.40%,
8/16/2011,15:30,NZD,L,GDT Price Index,-1.30%,,-2.00%,
8/16/2011,23:45,NZD,H,PPI Input q/q,0.90%,1.20%,2.20%,
8/16/2011,23:45,NZD,L,PPI Output q/q,1.40%,0.80%,1.70%,
8/17/2011,1:30,AUD,M,MI Leading Index m/m,0.10%,,-0.10%,
8/17/2011,2:30,AUD,M,Wage Price Index q/q,0.90%,0.90%,0.80%,
8/17/2011,9:00,EUR,M,Current Account,-7.4B,-3.6B,-5.6B,
8/17/2011,9:30,GBP,H,Claimant Count Change,37.1K,20.1K,31.3K,
8/17/2011,9:30,GBP,H,MPC Asset Purchase Facility Votes,1-0-8,1-0-8,1-0-8,
8/17/2011,9:30,GBP,H,MPC Official Bank Rate Votes,0-0-9,2-0-7,2-0-7,
8/17/2011,9:30,GBP,M,Average Earnings Index 3m/y,2.60%,2.30%,2.30%,
8/17/2011,9:30,GBP,L,Unemployment Rate,7.90%,7.70%,7.70%,
8/17/2011,10:00,EUR,M,Final CPI y/y,2.50%,2.50%,2.50%,
8/17/2011,10:00,EUR,M,Final Core CPI y/y,1.20%,1.70%,1.60%,
8/17/2011,13:30,CAD,M,Foreign Securities Purchases,-3.46B,10.33B,15.34B,
8/17/2011,13:30,USD,H,PPI m/m,0.20%,0.00%,-0.40%,
8/17/2011,13:30,USD,M,Core PPI m/m,0.40%,0.20%,0.30%,
8/17/2011,15:30,USD,M,Crude Oil Inventories,4.2M,-0.4M,-5.2M,
8/17/2011,18:20,USD,M,FOMC Member Fisher Speaks,,,,
8/18/2011,0:50,JPY,M,Trade Balance,-0.13T,-0.12T,-0.20T,
8/18/2011,9:30,GBP,H,Retail Sales m/m,0.20%,0.30%,0.80%,
8/18/2011,13:30,CAD,M,Leading Index m/m,0.20%,0.30%,0.10%,
8/18/2011,13:30,CAD,M,Wholesale Sales m/m,0.20%,0.30%,2.00%,
8/18/2011,13:30,USD,H,CPI y/y,3.60%,3.40%,3.60%,
8/18/2011,13:30,USD,H,Core CPI m/m,0.20%,0.20%,0.30%,
8/18/2011,13:30,USD,H,Unemployment Claims,408K,402K,399K,
8/18/2011,13:30,USD,M,CPI m/m,0.50%,0.20%,-0.20%,
8/18/2011,13:35,USD,L,FOMC Member Dudley Speaks,,,,
8/18/2011,15:00,USD,H,Existing Home Sales,4.67M,4.91M,4.84M,
8/18/2011,15:00,USD,H,Philly Fed Manufacturing Index,-30.7,4,3.2,
8/18/2011,15:00,USD,L,CB Leading Index m/m,0.50%,0.20%,0.30%,
8/18/2011,15:30,CAD,L,BOC Review,,,,
8/18/2011,15:30,USD,L,Natural Gas Storage,50B,49B,25B,
8/18/2011,23:52,NZD,L,Visitor Arrivals m/m,2.00%,,-4.40%,
